Electrode,X,Y,Z,0,2,4,6,8,10,12,14,16,18,20
'E35',-7.322000027,1.700999975,5.413000107,2725.3752,2729.8606,2734.4229,2737.6711,2737.7954,2740.0156,2739.9163,2737.5669,2735.1853,2734.3259,2737.1943
'E36',-6.255000114,0.324999988,7.287000179,-3095.4954,-3092.2966,-3088.2483,-3087.5107,-3085.7649,-3085.6506,-3087.25,-3088.9587,-3092.376,-3091.8223,-3089.1001
'E37',-4.462999821,-1.733999968,8.862999916,-654.71484,-650.41833,-648.15833,-648.64258,-645.18304,-644.42059,-646.57385,-649.3678,-650.73871,-650.09296,-647.93231
'E38',-7.478000164,4.123000145,-3.828000069,1999.4304,2004.693,2003.943,2001.4943,2005.8256,2001.5488,1996.7482,1997.076,1996.9916,1998.8295,2002.8254
'E39',-8.210000038,0.970000029,-1.008000016,496.77243,498.48608,501.28253,502.10208,503.99207,495.91315,492.38654,492.95029,494.78812,501.99283,505.18414
'E40',-8.437999725,0.037,2.447000027,-674.95306,-669.60608,-661.63892,-663.32025,-660.61072,-659.14545,-662.33429,-665.19781,-671.38672,-673.15503,-666.63574
'E41',-7.881999969,-0.913999975,5.250999928,3612.5706,3615.6228,3621.3474,3624.2332,3624.6753,3627.4841,3626.3567,3624.3647,3623.4534,3622.6563,3624.3723
'E42',-6.798999786,-2.670000076,6.853000164,4937.6265,4939.3652,4944.1284,4945.1763,4947.5083,4948.9292,4947.1509,4944.2104,4942.0127,4942.5889,4945.8271
'E43',-7.441999912,2.759000063,-5.997000217,-1855.7858,-1850.3716,-1849.3508,-1849.6713,-1849.3956,-1855.1425,-1859.0018,-1857.3007,-1854.5812,-1856.0391,-1857.1665
'E44',-7.809000015,1.458999991,-4.059000015,1170.7123,1177.1049,1176.7646,1174.2041,1177.4352,1173.6676,1170.1709,1167.7518,1168.3877,1171.502,1172.5376
'E45',-8.338999748,-2.130000114,-0.717999995,-1048.4531,-1046.8687,-1043.4464,-1044.713,-1043.6401,-1050.5767,-1053.3284,-1050.7902,-1052.5237,-1047.2462,-1042.6741
'E46',-8.347999573,-2.624000072,2.72300005,974.38202,977.72729,982.03125,982.54285,984.11493,985.9726,984.50732,983.11658,980.47906,979.48566,982.49567
'E47',-7.690999985,-3.437999964,4.769999981,523.34369,527.41669,532.64948,536.22076,537.35077,537.47498,536.79944,533.64539,531.24878,532.24219,535.00385
'E48',-6.775000095,2.542000055,-9.05700016,-2106.2444,-2099.8269,-2100.5125,-2100.8081,-2100.9221,-2106.3787,-2109.2793,-2106.8057,-2102.457,-2104.8389,-2106.9126
'E49',-7.190000057,0.476000011,-6.927999973,-1043.5532,-1038.6854,-1037.178,-1038.2955,-1039.4777,-1044.1318,-1045.2097,-1042.8429,-1041.3204,-1043.4563,-1045.9076
'E50',-7.742000103,-4.592999935,-0.264999986,-1662.6741,-1658.7799,-1653.5471,-1655.3253,-1655.38,-1657.8585,-1660.9854,-1663.5234,-1664.79,-1661.7974,-1656.5895
'E51',-7.486000061,-5.328000069,3.138999939,-536.14874,-529.89526,-525.06726,-524.25763,-521.61267,-520.39825,-521.14825,-523.79321,-527.91339,-528.54175,-524.22284
'E52',-6.657000065,-5.131000042,5.657000065,-3601.9187,-3598.7324,-3592.5559,-3593.7603,-3590.9192,-3589.387,-3591.8181,-3592.5137,-3594.4111,-3594.1677,-3591.3887
'E53',-4.787000179,-4.607999802,7.971000195,-519.16638,-514.88727,-512.76141,-511.25638,-509.59738,-509.5502,-509.3515,-512.63971,-513.49652,-512.93524,-510.41446
'E54',-2.592000008,-3.898000002,9.366000175,-7269.79,-7266.8691,-7266.5566,-7267.5054,-7267.689,-7266.2856,-7265.9976,-7264.9199,-7265.4067,-7266.9639,-7266.646
'E55',1.49E-16,-2.440999985,10.03600025,-1364.8868,-1389.6327,-1415.7222,-1410.2856,-1410.7626,-1409.7517,-1387.2683,-1366.5333,-1362.1326,-1378.0818,-1410.1665
'E56',-7.048999786,-2.805999994,-6.434999943,-5779.3784,-5773.2612,-5772.7573,-5774.4883,-5776.0034,-5778.688,-5781.4175,-5779.48,-5778.6606,-5778.124,-5777.6523
'E57',-7.512000084,-4.269000053,-3.414000034,-936.38153,-932.06519,-928.74225,-931.47656,-934.47174,-933.9278,-935.37573,-937.64569,-938.93958,-934.4245,-933.17035
'E58',-6.888999939,-6.570000172,0.059,2063.5254,2062.9243,2067.0371,2065.1047,2062.6982,2063.4583,2063.8928,2059.2239,2056.6384,2061.0317,2062.6709
'E59',-5.940999985,-7.348999977,3.407000065,1442.5814,1446.5029,1454.1796,1454.9246,1455.8634,1457.8502,1457.6764,1452.6124,1445.0029,1448.2886,1453.4543
'E60',-4.699999809,-6.920000076,6.125,-134.72885,-131.76103,-126.01664,-125.53236,-124.83697,-121.62825,-123.23509,-126.74928,-129.40666,-129.05647,-126.37427
'E61',-2.677000046,-6.256999969,8.05700016,-4252.7842,-4249.2378,-4248.4155,-4249.1831,-4249.0835,-4247.9834,-4247.7378,-4247.0645,-4248.0977,-4248.1201,-4248.438
'E62',4.67E-16,-7.622000217,7.380000114,-2965.2566,-2974.7637,-2990.7004,-2988.9246,-2988.0703,-2989.0862,-2977.6719,-2966.2798,-2960.5627,-2967.8545,-2985.783
'E63',-6.087999821,-4.910999775,-6.407999992,-85.289284,-79.20961,-78.183914,-78.638397,-77.73439,-77.364349,-80.019241,-88.502968,-91.686852,-86.580719,-82.924965
'E64',-6.169000149,-6.701000214,-3.301000118,-1401.6455,-1397.9376,-1393.2834,-1394.5823,-1394.3837,-1390.8818,-1391.8455,-1403.0934,-1408.4106,-1403.0461,-1397.7638
'E65',-5.302999973,-8.31099987,0.149000004,-590.78638,-588.86163,-579.08398,-581.06335,-583.06012,-578.56494,-576.27014,-580.01031,-590.87079,-594.39246,-585.60822
'E66',-4.118999958,-8.75,3.572999954,387.79279,391.17535,397.91068,398.09943,401.22122,403.56818,402.05817,398.69299,394.37167,393.74332,397.57294
'E67',-2.105999947,-8.395000458,5.962999821,-3510.8975,-3506.6704,-3503.5984,-3502.9128,-3500.1389,-3499.9651,-3502.1455,-3502.6995,-3505.5381,-3504.8972,-3502.9426
'E68',-4.321000099,-7.30700016,-6.005000114,-2981.0071,-2967.8372,-2956.8201,-2960.5132,-2954.8533,-2949.7173,-2955.5288,-2970.3306,-2978.9558,-2972.8638,-2966.481
'E69',-4.027999878,-8.678999901,-3.217000008,1411.7758,1418.593,1427.946,1424.0543,1429.8534,1436.7626,1433.2981,1422.3184,1407.6035,1409.1433,1425.0031
