,X,Y,Z,Voltage (uV)
E115,7.191620108,0.850096251,-0.882936903,0.318848
E116,6.823959684,2.968422112,2.430080351,0.068359
E117,5.546670402,4.157847823,4.627615703,-0.990967
E118,3.825797111,5.121648995,5.942844877,-1.123047
E119,5.934584124,2.22697797,-7.934360742,0.248535
E120,6.518995129,2.417299399,-5.253637073,0.20459
E121,6.550732888,3.611543152,-3.353155926,0.528442
E122,6.399087198,4.127248875,-0.356852241,1.264648
E123,5.682547954,5.453384344,2.836565436,-0.037109
E124,4.459387187,6.021159964,4.365321482,-0.87793
E125,6.118458137,4.523870113,-4.409174427,0.32959
E126,3.743504949,6.649204911,-6.530243068,0.785522
E127,-3.743504949,6.649204911,-6.530243068,0.072754
E128,-6.118458137,4.523870113,-4.409174427,0.419922
E129,0,0,8.899186843,-1.255859
